Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(0, 51.440329218106996, 0.09650564193725586)
(1, 51.440329218106996, 0.1757040023803711)
(2, 51.440329218106996, 0.25409865379333496)
(3, 51.440329218106996, 0.3311471939086914)
(4, 51.440329218106996, 0.4266979694366455)
(5, 51.440329218106996, 0.4986119270324707)
(6, 51.440329218106996, 0.5848617553710938)
(7, 51.440329218106996, 0.6460931301116943)
(8, 51.440329218106996, 0.7396490573883057)
(9, 51.440329218106996, 0.8411009311676025)
(10, 51.440329218106996, 0.9135544300079346)
(11, 51.440329218106996, 0.9593968391418457)
(12, 51.440329218106996, 1.0521254539489746)
(13, 51.440329218106996, 1.118143081665039)
(14, 51.440329218106996, 1.1902070045471191)
(15, 51.440329218106996, 1.2684919834136963)
(16, 51.440329218106996, 1.3498027324676514)
(17, 51.440329218106996, 1.4317424297332764)
(18, 51.440329218106996, 1.5051038265228271)
(19, 51.440329218106996, 1.5773861408233643)
(20, 51.440329218106996, 1.6563389301300049)
(21, 51.440329218106996, 1.738706111907959)
(22, 51.440329218106996, 1.8164167404174805)
(23, 51.440329218106996, 1.888166904449463)
(24, 51.440329218106996, 1.9736578464508057)
(25, 51.440329218106996, 2.0633463859558105)
(26, 51.440329218106996, 2.1418302059173584)
(27, 51.440329218106996, 2.2100486755371094)
(28, 51.440329218106996, 2.2908501625061035)
(29, 51.440329218106996, 2.3582370281219482)
(30, 51.440329218106996, 2.4466288089752197)
(31, 51.440329218106996, 2.5133018493652344)
(32, 51.440329218106996, 2.6011524200439453)
(33, 51.440329218106996, 2.6818487644195557)
(34, 51.440329218106996, 2.762890100479126)
(35, 51.440329218106996, 2.8389415740966797)
(36, 51.440329218106996, 2.9150631427764893)
(37, 51.440329218106996, 2.988668918609619)
(38, 51.440329218106996, 3.0572140216827393)
(39, 51.440329218106996, 3.151155710220337)
(40, 51.440329218106996, 3.238039255142212)
(41, 51.440329218106996, 3.281126022338867)
(42, 51.440329218106996, 3.3764796257019043)
(43, 51.440329218106996, 3.455996036529541)
(44, 51.440329218106996, 3.528870105743408)
(45, 51.440329218106996, 3.5994410514831543)
(46, 51.440329218106996, 3.7235019207000732)
(47, 51.440329218106996, 3.7793972492218018)
(48, 51.440329218106996, 3.8582379817962646)
(49, 51.440329218106996, 3.9244630336761475)
(50, 51.440329218106996, 3.9926226139068604)
(51, 51.440329218106996, 4.058810234069824)
(52, 51.440329218106996, 4.166485786437988)
(53, 51.440329218106996, 4.2402708530426025)
(54, 51.440329218106996, 4.324656009674072)
(55, 51.440329218106996, 4.39398717880249)
(56, 51.440329218106996, 4.487523317337036)
(57, 51.440329218106996, 4.534947395324707)
(58, 51.440329218106996, 4.618307590484619)
(59, 51.440329218106996, 4.687008857727051)
(60, 51.440329218106996, 4.793056488037109)
(61, 51.440329218106996, 4.846201419830322)
(62, 51.440329218106996, 4.93095850944519)
(63, 51.440329218106996, 5.019259691238403)
(64, 51.440329218106996, 5.103880405426025)
(65, 51.440329218106996, 5.1539435386657715)
(66, 51.440329218106996, 5.252710819244385)
(67, 51.440329218106996, 5.308261394500732)
(68, 51.440329218106996, 5.4424755573272705)
(69, 51.440329218106996, 5.471122741699219)
(70, 51.440329218106996, 5.557899236679077)
(71, 51.440329218106996, 5.634985446929932)
(72, 51.440329218106996, 5.7566704750061035)
(73, 51.440329218106996, 5.7846245765686035)
(74, 51.440329218106996, 5.882370710372925)
(75, 51.440329218106996, 5.938495397567749)
(76, 51.440329218106996, 6.019260883331299)
(77, 51.440329218106996, 6.0812084674835205)
(78, 51.440329218106996, 6.190303802490234)
(79, 51.440329218106996, 6.405289649963379)
(80, 51.440329218106996, 6.441461086273193)
(81, 51.440329218106996, 6.506132125854492)
(82, 51.440329218106996, 6.510518550872803)
(83, 51.440329218106996, 6.55761456489563)
(84, 51.440329218106996, 6.63907265663147)
(85, 51.440329218106996, 6.725324869155884)
(86, 51.440329218106996, 6.782179355621338)
(87, 51.440329218106996, 6.864682674407959)
(88, 51.440329218106996, 6.970656633377075)
(89, 51.440329218106996, 7.057769060134888)
(90, 51.440329218106996, 7.161034345626831)
(91, 51.440329218106996, 7.212279319763184)
(92, 51.440329218106996, 7.2984278202056885)
(93, 51.440329218106996, 7.340294361114502)
(94, 51.440329218106996, 7.414381265640259)
(95, 51.440329218106996, 7.506221294403076)
(96, 51.440329218106996, 7.584440231323242)
(97, 51.440329218106996, 7.672117710113525)
(98, 51.440329218106996, 7.760530710220337)
(99, 51.440329218106996, 7.854486703872681)
(100, 51.440329218106996, 7.881306886672974)
(101, 51.440329218106996, 7.965898513793945)
(102, 51.440329218106996, 8.10500431060791)
(103, 51.440329218106996, 8.114302158355713)
(104, 51.440329218106996, 8.234858512878418)
(105, 51.440329218106996, 8.30960750579834)
(106, 51.440329218106996, 8.33731746673584)
(107, 51.440329218106996, 8.475898742675781)
(108, 51.440329218106996, 8.525083541870117)
(109, 51.440329218106996, 8.573997974395752)
(110, 51.440329218106996, 8.676850318908691)
(111, 51.440329218106996, 8.736107349395752)
(112, 51.440329218106996, 8.837167739868164)
(113, 51.440329218106996, 8.94320559501648)
(114, 51.440329218106996, 8.987166166305542)
(115, 51.440329218106996, 9.039441347122192)
(116, 51.440329218106996, 9.140528678894043)
(117, 51.440329218106996, 9.234877109527588)
(118, 51.440329218106996, 9.303426742553711)
(119, 51.440329218106996, 9.417659521102905)
(120, 51.440329218106996, 9.516889810562134)
(121, 51.440329218106996, 9.54064154624939)
(122, 51.440329218106996, 9.65270209312439)
(123, 51.440329218106996, 9.68836498260498)
(124, 51.440329218106996, 9.753162384033203)
(125, 51.440329218106996, 9.881175518035889)
(126, 51.440329218106996, 9.917500019073486)
(127, 51.440329218106996, 9.998137712478638)
(128, 51.440329218106996, 10.102487325668335)
(129, 51.440329218106996, 10.200555801391602)
(130, 51.440329218106996, 10.223748445510864)
(131, 51.440329218106996, 10.344518899917603)
(132, 51.440329218106996, 10.412334442138672)
(133, 51.440329218106996, 10.465972423553467)
(134, 51.440329218106996, 10.612698078155518)
(135, 51.440329218106996, 10.655149459838867)
(136, 51.440329218106996, 10.724808692932129)
(137, 51.440329218106996, 10.82839584350586)
(138, 51.440329218106996, 10.880998373031616)
(139, 51.440329218106996, 10.952341318130493)
(140, 51.440329218106996, 11.022077798843384)
(141, 51.440329218106996, 11.111417293548584)
(142, 51.440329218106996, 11.17545485496521)
(143, 51.440329218106996, 11.266820907592773)
(144, 51.440329218106996, 11.412024736404419)
(145, 51.440329218106996, 11.471465826034546)
(146, 51.440329218106996, 11.526260375976562)
(147, 51.440329218106996, 11.5671067237854)
(148, 51.440329218106996, 11.61577296257019)
(149, 51.440329218106996, 11.776923179626465)
(150, 51.440329218106996, 11.799040794372559)
(151, 51.440329218106996, 11.818069219589233)
(152, 51.440329218106996, 11.980777263641357)
(153, 51.440329218106996, 12.101540803909302)
(154, 51.440329218106996, 12.08931279182434)
