Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(0, 48.559670781893004, 0.19723033905029297)
(1, 48.559670781893004, 0.35640454292297363)
(2, 83.1275720164609, 0.5106818675994873)
(3, 81.89300411522635, 0.666449785232544)
(4, 48.559670781893004, 0.8349783420562744)
(5, 60.08230452674898, 1.030590295791626)
(6, 85.59670781893004, 1.1925063133239746)
(7, 85.59670781893004, 1.3662195205688477)
(8, 70.37037037037037, 1.519399881362915)
(9, 86.0082304526749, 1.6658475399017334)
(10, 76.95473251028807, 1.7917890548706055)
(11, 86.0082304526749, 1.9821369647979736)
(12, 79.83539094650206, 2.1873748302459717)
(13, 86.41975308641975, 2.2747671604156494)
(14, 81.48148148148148, 2.305863857269287)
(15, 86.0082304526749, 1.831374168395996)
(16, 87.65432098765432, 1.4428577423095703)
(17, 87.24279835390946, 1.5755832195281982)
(18, 87.24279835390946, 1.5419373512268066)
(19, 88.47736625514403, 1.600005865097046)
(20, 87.24279835390946, 1.6535491943359375)
(21, 90.12345679012346, 1.795166254043579)
(22, 90.12345679012346, 1.8586013317108154)
(23, 90.94650205761316, 1.8847861289978027)
(24, 91.35802469135803, 1.9300944805145264)
(25, 91.35802469135803, 2.0070536136627197)
(26, 90.53497942386831, 2.0995001792907715)
(27, 91.35802469135803, 2.262845993041992)
(28, 92.5925925925926, 2.216850757598877)
(29, 93.00411522633745, 2.2802441120147705)
(30, 91.76954732510289, 2.4608263969421387)
(31, 93.4156378600823, 2.6894898414611816)
(32, 93.00411522633745, 4.0454185009002686)
(33, 93.4156378600823, 2.88071346282959)
(34, 93.00411522633745, 3.553433656692505)
(35, 92.5925925925926, 5.023783445358276)
(36, 90.53497942386831, 5.153661251068115)
(37, 93.4156378600823, 5.298256874084473)
(38, 93.00411522633745, 5.4448957443237305)
(39, 93.4156378600823, 5.49981951713562)
(40, 92.18106995884774, 5.660260438919067)
(41, 93.4156378600823, 5.871208429336548)
(42, 91.35802469135803, 6.017830848693848)
(43, 93.82716049382715, 5.95647668838501)
(44, 92.18106995884774, 6.247154951095581)
(45, 92.18106995884774, 6.3995161056518555)
(46, 93.00411522633745, 6.413875102996826)
(47, 93.82716049382715, 4.597307205200195)
(48, 92.18106995884774, 4.8608078956604)
(49, 93.82716049382715, 4.240842819213867)
(50, 93.82716049382715, 6.979028701782227)
(51, 92.18106995884774, 4.211966514587402)
(52, 91.35802469135803, 7.123450040817261)
(53, 92.18106995884774, 7.559749126434326)
(54, 93.00411522633745, 7.58617901802063)
(55, 92.18106995884774, 7.7059385776519775)
(56, 92.5925925925926, 7.78134298324585)
(57, 93.82716049382715, 7.99372410774231)
(58, 93.4156378600823, 8.285419702529907)
(59, 94.23868312757202, 6.284191370010376)
(60, 93.82716049382715, 5.9060893058776855)
(61, 92.18106995884774, 5.750413417816162)
(62, 91.76954732510289, 5.688141345977783)
(63, 93.82716049382715, 5.996525764465332)
(64, 92.5925925925926, 8.830140590667725)
(65, 92.5925925925926, 8.954261064529419)
(66, 94.65020576131687, 9.077113628387451)
(67, 94.65020576131687, 9.13498067855835)
(68, 94.23868312757202, 9.300754070281982)
(69, 93.00411522633745, 9.409736156463623)
(70, 94.65020576131687, 9.70376968383789)
(71, 94.23868312757202, 9.648855209350586)
(72, 94.23868312757202, 9.963702917098999)
(73, 93.82716049382715, 9.891480684280396)
(74, 94.65020576131687, 7.780188083648682)
(75, 93.00411522633745, 5.5475099086761475)
(76, 93.00411522633745, 5.564814329147339)
(77, 93.00411522633745, 5.653802394866943)
(78, 94.65020576131687, 5.660146713256836)
(79, 94.65020576131687, 8.639458894729614)
