Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(0, 48.559670781893004, 0.09716916084289551)
(1, 48.559670781893004, 0.17739486694335938)
(2, 48.559670781893004, 0.2589445114135742)
(3, 48.559670781893004, 0.3377339839935303)
(4, 48.559670781893004, 0.43518519401550293)
(5, 48.559670781893004, 0.5097212791442871)
(6, 48.559670781893004, 0.5818109512329102)
(7, 48.559670781893004, 0.6679694652557373)
(8, 48.559670781893004, 0.7485220432281494)
(9, 48.559670781893004, 0.8463666439056396)
(10, 48.559670781893004, 0.9427821636199951)
(11, 48.559670781893004, 1.0478851795196533)
(12, 48.559670781893004, 1.0847253799438477)
(13, 48.559670781893004, 1.1405954360961914)
(14, 48.559670781893004, 1.2163865566253662)
(15, 41.56378600823045, 1.3063786029815674)
(16, 48.559670781893004, 1.377164602279663)
(17, 48.559670781893004, 1.4668774604797363)
(18, 44.44444444444444, 1.5450623035430908)
(19, 44.8559670781893, 1.6232094764709473)
(20, 48.559670781893004, 1.7034423351287842)
(21, 44.8559670781893, 1.832545280456543)
(22, 48.559670781893004, 1.9481415748596191)
(23, 45.267489711934154, 2.0261406898498535)
(24, 44.44444444444444, 2.146754026412964)
(25, 44.8559670781893, 2.172970771789551)
(26, 48.559670781893004, 2.2362656593322754)
(27, 48.559670781893004, 2.456537961959839)
(28, 48.559670781893004, 2.460209846496582)
(29, 48.559670781893004, 2.5379533767700195)
(30, 48.559670781893004, 2.6289684772491455)
(31, 48.559670781893004, 2.653040647506714)
(32, 48.559670781893004, 2.745682954788208)
(33, 45.267489711934154, 2.8609442710876465)
(34, 48.559670781893004, 3.008340835571289)
(35, 48.559670781893004, 3.009791135787964)
(36, 48.559670781893004, 3.1604578495025635)
(37, 48.559670781893004, 4.266631841659546)
(38, 48.559670781893004, 4.622883081436157)
(39, 48.559670781893004, 4.608417272567749)
(40, 48.559670781893004, 4.3955464363098145)
(41, 48.559670781893004, 3.9801416397094727)
(42, 48.559670781893004, 4.1545798778533936)
(43, 45.67901234567901, 4.1265130043029785)
(44, 48.559670781893004, 4.081395149230957)
(45, 48.559670781893004, 3.847245454788208)
(46, 48.559670781893004, 4.2146079540252686)
(47, 48.559670781893004, 4.332624912261963)
(48, 48.559670781893004, 4.246282577514648)
(49, 48.559670781893004, 4.221093416213989)
(50, 46.09053497942387, 4.201314210891724)
(51, 48.559670781893004, 4.229734420776367)
(52, 48.559670781893004, 4.264703750610352)
(53, 48.559670781893004, 4.370599269866943)
(54, 45.67901234567901, 4.364806652069092)
(55, 46.09053497942387, 4.4654762744903564)
(56, 48.559670781893004, 4.521493911743164)
(57, 48.559670781893004, 4.611586809158325)
(58, 48.559670781893004, 4.7449951171875)
(59, 48.559670781893004, 5.689888954162598)
(60, 48.559670781893004, 5.553565740585327)
(61, 46.09053497942387, 5.232643365859985)
(62, 46.50205761316872, 4.980705976486206)
(63, 48.559670781893004, 5.111393690109253)
(64, 48.559670781893004, 5.210717439651489)
(65, 46.913580246913575, 5.235357046127319)
(66, 48.559670781893004, 5.299257516860962)
(67, 48.559670781893004, 5.646677732467651)
(68, 47.73662551440329, 5.632479190826416)
(69, 47.325102880658434, 5.638624906539917)
(70, 47.73662551440329, 5.7294087409973145)
(71, 48.559670781893004, 5.798183441162109)
(72, 47.73662551440329, 5.787543296813965)
(73, 48.559670781893004, 5.921771049499512)
(74, 47.73662551440329, 6.007623195648193)
(75, 47.325102880658434, 6.000298976898193)
(76, 48.559670781893004, 6.073157072067261)
(77, 48.559670781893004, 6.146782636642456)
(78, 47.73662551440329, 6.2270472049713135)
(79, 48.559670781893004, 6.442898750305176)
(80, 48.559670781893004, 6.394108057022095)
(81, 48.559670781893004, 6.475165128707886)
(82, 48.559670781893004, 6.592597246170044)
(83, 47.73662551440329, 6.616941928863525)
(84, 48.559670781893004, 6.746586322784424)
(85, 48.559670781893004, 6.734540224075317)
(86, 47.73662551440329, 6.888714790344238)
(87, 48.559670781893004, 7.5058207511901855)
(88, 48.559670781893004, 9.158291578292847)
(89, 48.559670781893004, 8.924057245254517)
(90, 48.559670781893004, 8.536450386047363)
(91, 47.73662551440329, 8.573593378067017)
(92, 48.559670781893004, 8.441249132156372)
(93, 47.73662551440329, 8.471615076065063)
(94, 48.559670781893004, 7.8915088176727295)
(95, 48.559670781893004, 8.181101560592651)
(96, 48.559670781893004, 8.196757793426514)
(97, 48.559670781893004, 8.226593255996704)
(98, 48.559670781893004, 8.34403681755066)
(99, 48.559670781893004, 8.320233821868896)
(100, 48.559670781893004, 13.670582056045532)
(101, 47.73662551440329, 10.870459079742432)
(102, 48.559670781893004, 9.552502632141113)
(103, 48.559670781893004, 8.834032535552979)
(104, 48.559670781893004, 9.677572250366211)
(105, 47.73662551440329, 8.510743379592896)
(106, 48.559670781893004, 9.080086469650269)
(107, 48.559670781893004, 8.597387552261353)
(108, 47.73662551440329, 9.013346195220947)
(109, 48.559670781893004, 8.882874488830566)
(110, 47.73662551440329, 9.260546684265137)
(111, 13.580246913580247, 9.36744999885559)
(112, 47.73662551440329, 8.894869089126587)
(113, 48.559670781893004, 9.025377750396729)
(114, 47.73662551440329, 9.154449939727783)
(115, 48.559670781893004, 9.254187107086182)
(116, 47.73662551440329, 9.825182914733887)
(117, 47.73662551440329, 10.092347621917725)
(118, 48.559670781893004, 9.940343856811523)
(119, 47.73662551440329, 12.993727207183838)
(120, 48.559670781893004, 13.293208122253418)
(121, 48.559670781893004, 11.314023971557617)
(122, 48.559670781893004, 10.936189889907837)
(123, 48.559670781893004, 10.643023252487183)
(124, 47.73662551440329, 11.471832275390625)
(125, 47.73662551440329, 11.313754796981812)
(126, 47.73662551440329, 10.325908899307251)
(127, 47.73662551440329, 12.235971927642822)
(128, 48.559670781893004, 11.805198431015015)
(129, 47.73662551440329, 11.23321008682251)
(130, 48.559670781893004, 10.86594295501709)
(131, 47.73662551440329, 11.32611632347107)
(132, 47.73662551440329, 11.076140403747559)
(133, 48.559670781893004, 11.311110973358154)
(134, 28.39506172839506, 10.561048984527588)
(135, 47.73662551440329, 10.607148170471191)
(136, 47.73662551440329, 10.735897541046143)
(137, 47.73662551440329, 10.806785821914673)
(138, 47.73662551440329, 10.987333297729492)
(139, 47.73662551440329, 11.110914468765259)
(140, 47.73662551440329, 11.55307388305664)
(141, 47.73662551440329, 11.275557279586792)
(142, 47.73662551440329, 11.498808860778809)
(143, 47.73662551440329, 11.319599151611328)
(144, 48.559670781893004, 11.548715591430664)
(145, 47.73662551440329, 12.175857067108154)
(146, 47.73662551440329, 12.315675497055054)
(147, 47.73662551440329, 11.878824949264526)
(148, 48.559670781893004, 12.177905559539795)
(149, 47.73662551440329, 12.285545587539673)
(150, 47.73662551440329, 12.205522537231445)
(151, 47.73662551440329, 12.612950086593628)
(152, 48.559670781893004, 12.304566144943237)
(153, 23.045267489711936, 12.274885892868042)
(154, 47.73662551440329, 12.604359865188599)
(155, 48.559670781893004, 12.302516222000122)
