Testes de variação de threshold para a rede neural com a base de dados Hill.
Formato (threshold, Accuracy, Tempo de execução)
(-2, 93.00411522633745, 4.63763427734375)
(-1.9, 94.23868312757202, 4.108811378479004)
(-1.7999999999999998, 94.65020576131687, 3.918114423751831)
(-1.6999999999999997, 92.18106995884774, 3.8051400184631348)
(-1.5999999999999996, 94.23868312757202, 3.9386789798736572)
(-1.4999999999999996, 94.23868312757202, 3.6061794757843018)
(-1.3999999999999995, 92.18106995884774, 3.64521861076355)
(-1.2999999999999994, 94.23868312757202, 3.580392837524414)
(-1.1999999999999993, 94.65020576131687, 3.5657153129577637)
(-1.0999999999999992, 94.23868312757202, 3.595893144607544)
(-0.9999999999999992, 94.23868312757202, 3.5950865745544434)
(-0.8999999999999992, 94.23868312757202, 3.6173291206359863)
(-0.7999999999999993, 94.23868312757202, 3.611051559448242)
(-0.6999999999999993, 91.35802469135803, 3.6041324138641357)
(-0.5999999999999993, 95.06172839506173, 3.587698221206665)
(-0.49999999999999933, 92.5925925925926, 3.629608392715454)
(-0.39999999999999936, 92.18106995884774, 3.6022212505340576)
(-0.2999999999999994, 95.06172839506173, 3.601445436477661)
(-0.19999999999999937, 93.00411522633745, 3.6240234375)
(-0.09999999999999937, 92.18106995884774, 3.6312365531921387)
(6.38378239159465e-16, 94.65020576131687, 3.618757963180542)
(0.10000000000000064, 92.18106995884774, 3.57014799118042)
(0.20000000000000065, 92.5925925925926, 3.591642379760742)
(0.30000000000000066, 92.18106995884774, 3.6059117317199707)
(0.4000000000000007, 93.00411522633745, 3.652162551879883)
(0.5000000000000007, 94.23868312757202, 3.628438949584961)
(0.6000000000000006, 92.5925925925926, 3.6013529300689697)
(0.7000000000000006, 92.18106995884774, 3.6255674362182617)
(0.8000000000000006, 94.23868312757202, 3.6002984046936035)
(0.9000000000000006, 94.23868312757202, 3.6109092235565186)
(1.0000000000000007, 92.18106995884774, 3.60962176322937)
(1.1000000000000008, 92.18106995884774, 3.620859146118164)
(1.2000000000000008, 92.18106995884774, 3.6030471324920654)
(1.300000000000001, 94.23868312757202, 3.6308701038360596)
(1.400000000000001, 92.18106995884774, 3.638892412185669)
(1.500000000000001, 93.82716049382715, 3.6581177711486816)
(1.6000000000000012, 94.23868312757202, 3.6256864070892334)
(1.7000000000000013, 94.23868312757202, 3.6467223167419434)
(1.8000000000000014, 93.4156378600823, 3.665783405303955)
(1.9000000000000015, 92.5925925925926, 3.69132924079895)
