Testes de variação de threshold para a rede neural com a base de dados Hill.
Formato (threshold, Accuracy, Tempo de execução)
(-2, 51.440329218106996, 4.00971245765686)
(-1.9, 51.440329218106996, 3.9794936180114746)
(-1.7999999999999998, 51.440329218106996, 3.947216510772705)
(-1.6999999999999997, 51.440329218106996, 4.018053293228149)
(-1.5999999999999996, 51.440329218106996, 3.946856737136841)
(-1.4999999999999996, 51.440329218106996, 3.955335855484009)
(-1.3999999999999995, 51.440329218106996, 3.9983320236206055)
(-1.2999999999999994, 51.440329218106996, 3.956149101257324)
(-1.1999999999999993, 51.440329218106996, 3.938699722290039)
(-1.0999999999999992, 51.440329218106996, 3.9949426651000977)
(-0.9999999999999992, 51.440329218106996, 3.946962833404541)
(-0.8999999999999992, 51.440329218106996, 4.198596954345703)
(-0.7999999999999993, 51.440329218106996, 4.245757818222046)
(-0.6999999999999993, 51.440329218106996, 4.0807273387908936)
(-0.5999999999999993, 51.440329218106996, 4.241187334060669)
(-0.49999999999999933, 51.440329218106996, 4.1311376094818115)
(-0.39999999999999936, 51.440329218106996, 4.0640175342559814)
(-0.2999999999999994, 51.440329218106996, 4.058171033859253)
(-0.19999999999999937, 51.440329218106996, 4.1671411991119385)
(-0.09999999999999937, 51.440329218106996, 4.2640180587768555)
(6.38378239159465e-16, 51.440329218106996, 4.270063161849976)
(0.10000000000000064, 51.440329218106996, 4.150139570236206)
(0.20000000000000065, 51.440329218106996, 4.214825391769409)
(0.30000000000000066, 51.440329218106996, 4.171065807342529)
(0.4000000000000007, 51.440329218106996, 4.129647970199585)
(0.5000000000000007, 51.440329218106996, 4.141577482223511)
(0.6000000000000006, 51.440329218106996, 4.3594255447387695)
(0.7000000000000006, 51.440329218106996, 4.308846712112427)
(0.8000000000000006, 51.440329218106996, 4.269212484359741)
(0.9000000000000006, 51.440329218106996, 4.5948779582977295)
(1.0000000000000007, 51.440329218106996, 4.460787773132324)
(1.1000000000000008, 51.440329218106996, 4.115086555480957)
(1.2000000000000008, 51.440329218106996, 4.012765884399414)
(1.300000000000001, 51.440329218106996, 4.138926982879639)
(1.400000000000001, 51.440329218106996, 4.040025234222412)
(1.500000000000001, 51.440329218106996, 4.173188209533691)
(1.6000000000000012, 51.440329218106996, 4.1820268630981445)
(1.7000000000000013, 51.440329218106996, 4.194593906402588)
(1.8000000000000014, 51.440329218106996, 4.293218612670898)
(1.9000000000000015, 51.440329218106996, 4.298982858657837)
