Testes de variação de threshold para a rede neural com a base de dados Hill.
Formato (threshold, Accuracy, Tempo de execução)
(-2, 93.4156378600823, 3.2559871673583984)
(-1.9, 92.18106995884774, 3.202735662460327)
(-1.7999999999999998, 94.23868312757202, 3.3250441551208496)
(-1.6999999999999997, 93.82716049382715, 3.948636293411255)
(-1.5999999999999996, 92.18106995884774, 3.736588954925537)
(-1.4999999999999996, 92.18106995884774, 5.115389347076416)
(-1.3999999999999995, 92.5925925925926, 3.991692066192627)
(-1.2999999999999994, 92.18106995884774, 4.1391355991363525)
(-1.1999999999999993, 93.82716049382715, 5.124656438827515)
(-1.0999999999999992, 93.4156378600823, 7.676797151565552)
(-0.9999999999999992, 92.18106995884774, 7.363555908203125)
(-0.8999999999999992, 92.18106995884774, 6.986981630325317)
(-0.7999999999999993, 94.23868312757202, 6.991090536117554)
(-0.6999999999999993, 92.18106995884774, 6.954601287841797)
(-0.5999999999999993, 91.76954732510289, 7.021379709243774)
(-0.49999999999999933, 91.76954732510289, 6.957716703414917)
(-0.39999999999999936, 92.5925925925926, 6.944953203201294)
(-0.2999999999999994, 92.18106995884774, 6.988136053085327)
(-0.19999999999999937, 92.18106995884774, 6.984620571136475)
(-0.09999999999999937, 93.00411522633745, 6.988754749298096)
(6.38378239159465e-16, 92.18106995884774, 6.9680163860321045)
(0.10000000000000064, 93.82716049382715, 6.960906028747559)
(0.20000000000000065, 91.76954732510289, 7.0339035987854)
(0.30000000000000066, 93.82716049382715, 6.978072166442871)
(0.4000000000000007, 92.5925925925926, 6.969124794006348)
(0.5000000000000007, 92.18106995884774, 6.939364194869995)
(0.6000000000000006, 92.18106995884774, 6.982579231262207)
(0.7000000000000006, 92.18106995884774, 6.997822046279907)
(0.8000000000000006, 93.4156378600823, 7.016994953155518)
(0.9000000000000006, 93.4156378600823, 4.782892942428589)
(1.0000000000000007, 92.5925925925926, 3.572512626647949)
(1.1000000000000008, 92.5925925925926, 3.573654890060425)
(1.2000000000000008, 93.82716049382715, 3.562833547592163)
(1.300000000000001, 92.18106995884774, 3.5712103843688965)
(1.400000000000001, 93.4156378600823, 3.561755657196045)
(1.500000000000001, 93.82716049382715, 3.574899911880493)
(1.6000000000000012, 92.5925925925926, 3.5858023166656494)
(1.7000000000000013, 93.4156378600823, 3.5786547660827637)
(1.8000000000000014, 93.4156378600823, 3.640141487121582)
(1.9000000000000015, 93.82716049382715, 3.6121716499328613)
