Testes de variação de threshold para a rede neural com a base de dados Hill.
Formato (threshold, Accuracy, Tempo de execução)
(-2, 48.559670781893004, 4.161647796630859)
(-1.9, 45.67901234567901, 4.079372406005859)
(-1.7999999999999998, 48.559670781893004, 4.14417028427124)
(-1.6999999999999997, 45.67901234567901, 4.19451904296875)
(-1.5999999999999996, 46.09053497942387, 4.271776437759399)
(-1.4999999999999996, 46.09053497942387, 4.295439720153809)
(-1.3999999999999995, 47.325102880658434, 4.2297515869140625)
(-1.2999999999999994, 48.559670781893004, 4.178722381591797)
(-1.1999999999999993, 48.559670781893004, 4.3877174854278564)
(-1.0999999999999992, 48.559670781893004, 4.371650457382202)
(-0.9999999999999992, 48.559670781893004, 4.799341440200806)
(-0.8999999999999992, 48.559670781893004, 6.1380414962768555)
(-0.7999999999999993, 48.559670781893004, 5.267710447311401)
(-0.6999999999999993, 48.559670781893004, 5.186587333679199)
(-0.5999999999999993, 48.559670781893004, 8.580836296081543)
(-0.49999999999999933, 48.559670781893004, 8.817635774612427)
(-0.39999999999999936, 46.09053497942387, 8.613460779190063)
(-0.2999999999999994, 46.09053497942387, 8.602689027786255)
(-0.19999999999999937, 48.559670781893004, 8.613886594772339)
(-0.09999999999999937, 46.09053497942387, 8.613176107406616)
(6.38378239159465e-16, 46.09053497942387, 8.649148225784302)
(0.10000000000000064, 48.559670781893004, 8.649282455444336)
(0.20000000000000065, 48.559670781893004, 8.618242979049683)
(0.30000000000000066, 48.559670781893004, 8.668906927108765)
(0.4000000000000007, 48.559670781893004, 8.638774633407593)
(0.5000000000000007, 48.559670781893004, 8.63401746749878)
(0.6000000000000006, 46.09053497942387, 8.620233535766602)
(0.7000000000000006, 48.559670781893004, 8.638416767120361)
(0.8000000000000006, 48.559670781893004, 8.649195909500122)
(0.9000000000000006, 46.09053497942387, 8.645026922225952)
(1.0000000000000007, 46.09053497942387, 8.639882326126099)
(1.1000000000000008, 48.559670781893004, 5.312372446060181)
(1.2000000000000008, 46.09053497942387, 4.6127870082855225)
(1.300000000000001, 48.559670781893004, 4.6371002197265625)
(1.400000000000001, 48.559670781893004, 4.631997108459473)
(1.500000000000001, 48.559670781893004, 4.6288001537323)
(1.6000000000000012, 48.559670781893004, 4.67651891708374)
(1.7000000000000013, 48.559670781893004, 4.638378381729126)
(1.8000000000000014, 48.559670781893004, 4.72365927696228)
(1.9000000000000015, 48.559670781893004, 4.403733015060425)
