Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(0, 33.33333333333333, 0.001516580581665039)
(1, 40.0, 0.002828836441040039)
(2, 33.33333333333333, 0.00404810905456543)
(3, 66.66666666666666, 0.005510807037353516)
(4, 66.66666666666666, 0.0066394805908203125)
(5, 33.33333333333333, 0.008123636245727539)
(6, 33.33333333333333, 0.009078025817871094)
(7, 40.0, 0.010329246520996094)
(8, 33.33333333333333, 0.011966943740844727)
(9, 66.66666666666666, 0.013212919235229492)
(10, 33.33333333333333, 0.01471400260925293)
(11, 33.33333333333333, 0.015397310256958008)
(12, 46.666666666666664, 0.016724109649658203)
(13, 33.33333333333333, 0.01872086524963379)
(14, 33.33333333333333, 0.020505428314208984)
(15, 33.33333333333333, 0.021131277084350586)
(16, 66.66666666666666, 0.022042512893676758)
(17, 33.33333333333333, 0.023204565048217773)
(18, 33.33333333333333, 0.024875164031982422)
(19, 66.66666666666666, 0.026931285858154297)
(20, 33.33333333333333, 0.027140378952026367)
(21, 33.33333333333333, 0.02867579460144043)
(22, 40.0, 0.029694795608520508)
(23, 66.66666666666666, 0.030844688415527344)
(24, 33.33333333333333, 0.03229379653930664)
(25, 33.33333333333333, 0.03421807289123535)
(26, 33.33333333333333, 0.03552365303039551)
(27, 33.33333333333333, 0.0365138053894043)
(28, 33.33333333333333, 0.039174795150756836)
(29, 40.0, 0.03865838050842285)
(30, 33.33333333333333, 0.040483951568603516)
(31, 66.66666666666666, 0.04176759719848633)
(32, 33.33333333333333, 0.04282236099243164)
(33, 66.66666666666666, 0.04350996017456055)
(34, 33.33333333333333, 0.045114755630493164)
(35, 33.33333333333333, 0.046427249908447266)
(36, 33.33333333333333, 0.0477294921875)
(37, 66.66666666666666, 0.04948902130126953)
(38, 40.0, 0.05006074905395508)
(39, 33.33333333333333, 0.05177879333496094)
(40, 33.33333333333333, 0.0543520450592041)
(41, 6.666666666666667, 0.05460548400878906)
(42, 33.33333333333333, 0.05522942543029785)
(43, 33.33333333333333, 0.058064937591552734)
(44, 33.33333333333333, 0.05877065658569336)
(45, 33.33333333333333, 0.05907320976257324)
(46, 33.33333333333333, 0.061248779296875)
(47, 33.33333333333333, 0.06294941902160645)
(48, 33.33333333333333, 0.06314325332641602)
(49, 33.33333333333333, 0.07470059394836426)
(50, 33.33333333333333, 0.06489133834838867)
(51, 40.0, 0.0666196346282959)
(52, 33.33333333333333, 0.06755948066711426)
(53, 33.33333333333333, 0.07154369354248047)
(54, 33.33333333333333, 0.0743873119354248)
(55, 33.33333333333333, 0.07508611679077148)
(56, 33.33333333333333, 0.07666754722595215)
(57, 33.33333333333333, 0.07553291320800781)
(58, 33.33333333333333, 0.07574677467346191)
(59, 40.0, 0.07552552223205566)
(60, 33.33333333333333, 0.07824063301086426)
(61, 33.33333333333333, 0.08136463165283203)
(62, 33.33333333333333, 0.08295464515686035)
(63, 33.33333333333333, 0.08061695098876953)
(64, 33.33333333333333, 0.08208656311035156)
(65, 33.33333333333333, 0.08311963081359863)
(66, 33.33333333333333, 0.08545279502868652)
(67, 33.33333333333333, 0.08684992790222168)
(68, 33.33333333333333, 0.09145212173461914)
(69, 33.33333333333333, 0.08912062644958496)
(70, 33.33333333333333, 0.09065508842468262)
(71, 33.33333333333333, 0.09158158302307129)
(72, 33.33333333333333, 0.09372067451477051)
(73, 33.33333333333333, 0.09663152694702148)
(74, 33.33333333333333, 0.0974111557006836)
(75, 33.33333333333333, 0.09731817245483398)
(76, 33.33333333333333, 0.09824442863464355)
(77, 33.33333333333333, 0.09920907020568848)
(78, 33.33333333333333, 0.10466337203979492)
