Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(0, 33.33333333333333, 0.002180814743041992)
(1, 20.0, 0.004065513610839844)
(2, 33.33333333333333, 0.006107807159423828)
(3, 33.33333333333333, 0.007585763931274414)
(4, 20.0, 0.009918451309204102)
(5, 0.0, 0.011328458786010742)
(6, 0.0, 0.013626813888549805)
(7, 33.33333333333333, 0.014882087707519531)
(8, 0.0, 0.01699066162109375)
(9, 33.33333333333333, 0.01886296272277832)
(10, 0.0, 0.021148681640625)
(11, 33.33333333333333, 0.022911787033081055)
(12, 0.0, 0.025020837783813477)
(13, 0.0, 0.026376962661743164)
(14, 33.33333333333333, 0.02844691276550293)
(15, 0.0, 0.030505895614624023)
(16, 0.0, 0.03204226493835449)
(17, 33.33333333333333, 0.03506159782409668)
(18, 33.33333333333333, 0.03557848930358887)
(19, 33.33333333333333, 0.03737831115722656)
(20, 0.0, 0.039211273193359375)
(21, 33.33333333333333, 0.041176795959472656)
(22, 33.33333333333333, 0.04284310340881348)
(23, 0.0, 0.04497098922729492)
(24, 33.33333333333333, 0.0466616153717041)
(25, 0.0, 0.04913449287414551)
(26, 33.33333333333333, 0.05193066596984863)
(27, 0.0, 0.05431509017944336)
(28, 33.33333333333333, 0.05574774742126465)
(29, 0.0, 0.05848956108093262)
(30, 0.0, 0.058182477951049805)
(31, 0.0, 0.06055259704589844)
(32, 0.0, 0.06258535385131836)
(33, 0.0, 0.0631265640258789)
(34, 33.33333333333333, 0.06572794914245605)
(35, 0.0, 0.06705689430236816)
(36, 0.0, 0.0704660415649414)
(37, 0.0, 0.0702061653137207)
(38, 33.33333333333333, 0.07274246215820312)
(39, 0.0, 0.07372784614562988)
(40, 0.0, 0.0763554573059082)
(41, 0.0, 0.07780575752258301)
(42, 0.0, 0.08261728286743164)
(43, 0.0, 0.08311700820922852)
(44, 0.0, 0.08292961120605469)
(45, 0.0, 0.0863645076751709)
(46, 0.0, 0.08843111991882324)
(47, 0.0, 0.09003305435180664)
(48, 0.0, 0.09305119514465332)
(49, 0.0, 0.0911865234375)
(50, 0.0, 0.09502458572387695)
(51, 0.0, 0.09548664093017578)
(52, 0.0, 0.0966482162475586)
(53, 0.0, 0.10267448425292969)
(54, 0.0, 0.10335350036621094)
(55, 0.0, 0.10593008995056152)
(56, 33.33333333333333, 0.10516571998596191)
(57, 0.0, 0.10896134376525879)
(58, 0.0, 0.1117098331451416)
(59, 33.33333333333333, 0.11197495460510254)
(60, 0.0, 0.11365604400634766)
(61, 0.0, 0.11568331718444824)
(62, 0.0, 0.1193692684173584)
(63, 0.0, 0.11903500556945801)
(64, 0.0, 0.12080049514770508)
(65, 0.0, 0.12244319915771484)
(66, 0.0, 0.12552189826965332)
(67, 33.33333333333333, 0.12617778778076172)
(68, 0.0, 0.12846946716308594)
(69, 0.0, 0.1301732063293457)
(70, 0.0, 0.1335752010345459)
(71, 0.0, 0.13428020477294922)
(72, 0.0, 0.13471460342407227)
(73, 0.0, 0.13858556747436523)
(74, 0.0, 0.14217019081115723)
(75, 0.0, 0.1408836841583252)
(76, 0.0, 0.14406085014343262)
(77, 0.0, 0.14624452590942383)
(78, 0.0, 0.151458740234375)
(79, 0.0, 0.1489086151123047)
(80, 0.0, 0.1495656967163086)
(81, 0.0, 0.15285229682922363)
(82, 0.0, 0.15446710586547852)
(83, 0.0, 0.15595006942749023)
(84, 0.0, 0.1582965850830078)
(85, 0.0, 0.15831518173217773)
(86, 0.0, 0.15911412239074707)
(87, 0.0, 0.1627635955810547)
(88, 0.0, 0.16345477104187012)
(89, 0.0, 0.16653728485107422)
(90, 0.0, 0.16948914527893066)
(91, 0.0, 0.166778564453125)
(92, 0.0, 0.16979360580444336)
(93, 0.0, 0.17368006706237793)
(94, 0.0, 0.17511439323425293)
(95, 0.0, 0.17714810371398926)
(96, 13.333333333333334, 0.18065643310546875)
(97, 0.0, 0.18010640144348145)
(98, 0.0, 0.1829509735107422)
(99, 0.0, 0.18709826469421387)
(100, 0.0, 0.18767905235290527)
(101, 0.0, 0.19376230239868164)
(102, 0.0, 0.193359375)
(103, 0.0, 0.1929316520690918)
(104, 0.0, 0.19559645652770996)
(105, 0.0, 0.19706201553344727)
(106, 0.0, 0.2015688419342041)
(107, 0.0, 0.1982417106628418)
(108, 0.0, 0.1998612880706787)
(109, 0.0, 0.20379900932312012)
(110, 0.0, 0.20760655403137207)
(111, 0.0, 0.2080540657043457)
(112, 0.0, 0.21051669120788574)
(113, 0.0, 0.21300959587097168)
(114, 0.0, 0.21286225318908691)
(115, 0.0, 0.21420574188232422)
(116, 0.0, 0.21973752975463867)
(117, 0.0, 0.21857285499572754)
(118, 0.0, 0.22335171699523926)
(119, 0.0, 0.22202301025390625)
(120, 0.0, 0.2285935878753662)
(121, 0.0, 0.22649073600769043)
(122, 0.0, 0.2301769256591797)
(123, 0.0, 0.2309703826904297)
(124, 0.0, 0.2314605712890625)
(125, 0.0, 0.23586487770080566)
(126, 0.0, 0.2362074851989746)
(127, 0.0, 0.2344510555267334)
(128, 0.0, 0.23839473724365234)
(129, 0.0, 0.24599289894104004)
(130, 0.0, 0.24319863319396973)
(131, 0.0, 0.2454073429107666)
(132, 0.0, 0.24761080741882324)
(133, 0.0, 0.2517263889312744)
(134, 0.0, 0.2527890205383301)
(135, 0.0, 0.25719475746154785)
(136, 0.0, 0.25457262992858887)
(137, 0.0, 0.26219916343688965)
(138, 0.0, 0.5754883289337158)
(139, 0.0, 0.7160952091217041)
(140, 0.0, 0.2653846740722656)
(141, 0.0, 0.26414012908935547)
(142, 0.0, 0.26419663429260254)
(143, 0.0, 0.26896071434020996)
(144, 0.0, 0.266951322555542)
(145, 0.0, 0.27275514602661133)
(146, 0.0, 0.27338337898254395)
(147, 0.0, 0.2742619514465332)
(148, 0.0, 0.27821850776672363)
(149, 0.0, 0.28237485885620117)
(150, 0.0, 0.27680182456970215)
(151, 0.0, 0.28511548042297363)
(152, 0.0, 0.286545991897583)
(153, 0.0, 0.2801201343536377)
(154, 0.0, 0.2862253189086914)
(155, 0.0, 0.2876553535461426)
(156, 0.0, 0.28823184967041016)
(157, 0.0, 0.28832459449768066)
(158, 0.0, 0.2954251766204834)
(159, 0.0, 0.2982759475708008)
(160, 0.0, 0.29557108879089355)
(161, 0.0, 0.2938497066497803)
(162, 0.0, 0.29839110374450684)
(163, 0.0, 0.3142054080963135)
(164, 0.0, 0.3179590702056885)
(165, 0.0, 0.3143019676208496)
(166, 0.0, 0.3262319564819336)
(167, 0.0, 0.32831811904907227)
(168, 0.0, 0.32766151428222656)
(169, 0.0, 0.3329148292541504)
(170, 0.0, 0.3293018341064453)
(171, 0.0, 0.3255741596221924)
(172, 0.0, 0.3359987735748291)
(173, 0.0, 0.3566138744354248)
(174, 0.0, 0.39599084854125977)
(175, 0.0, 0.3476111888885498)
(176, 0.0, 0.35242128372192383)
(177, 0.0, 0.32677531242370605)
(178, 0.0, 0.3336215019226074)
(179, 0.0, 0.3328118324279785)
(180, 0.0, 0.3326578140258789)
(181, 0.0, 0.3331630229949951)
(182, 0.0, 0.3356492519378662)
(183, 0.0, 0.3338794708251953)
(184, 0.0, 0.33756589889526367)
(185, 0.0, 0.3442714214324951)
(186, 0.0, 0.3435096740722656)
(187, 0.0, 0.3449554443359375)
(188, 0.0, 0.34673571586608887)
(189, 0.0, 0.3446826934814453)
(190, 0.0, 0.349092960357666)
(191, 0.0, 0.3543682098388672)
(192, 0.0, 0.3644416332244873)
(193, 0.0, 0.3706543445587158)
(194, 0.0, 0.3535304069519043)
(195, 0.0, 0.3589487075805664)
(196, 0.0, 0.3610689640045166)
(197, 0.0, 0.371936559677124)
(198, 0.0, 0.3621556758880615)
(199, 0.0, 0.36458921432495117)
(200, 0.0, 0.36487889289855957)
(201, 0.0, 0.36461901664733887)
(202, 0.0, 0.371415376663208)
(203, 0.0, 0.3680000305175781)
(204, 0.0, 0.3777153491973877)
(205, 0.0, 0.37670063972473145)
(206, 0.0, 0.38251757621765137)
(207, 0.0, 0.383716344833374)
(208, 0.0, 0.3868870735168457)
(209, 0.0, 0.40282106399536133)
(210, 0.0, 0.393953800201416)
(211, 0.0, 0.46062278747558594)
(212, 0.0, 0.4193141460418701)
(213, 0.0, 0.3907935619354248)
(214, 0.0, 0.3941032886505127)
(215, 0.0, 0.39345765113830566)
(216, 0.0, 0.4489278793334961)
(217, 0.0, 0.43262147903442383)
