Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(0, 0.0, 0.001462697982788086)
(1, 0.0, 0.0026445388793945312)
(2, 0.0, 0.0039446353912353516)
(3, 0.0, 0.005097150802612305)
(4, 0.0, 0.006333112716674805)
(5, 0.0, 0.0075016021728515625)
(6, 0.0, 0.008789300918579102)
(7, 0.0, 0.009898662567138672)
(8, 0.0, 0.011039257049560547)
(9, 0.0, 0.012272119522094727)
(10, 0.0, 0.014240026473999023)
(11, 0.0, 0.017836332321166992)
(12, 0.0, 0.019546031951904297)
(13, 0.0, 0.019054889678955078)
(14, 0.0, 0.02198624610900879)
(15, 0.0, 0.022290945053100586)
(16, 0.0, 0.02102518081665039)
(17, 0.0, 0.023272991180419922)
(18, 0.0, 0.02309870719909668)
(19, 0.0, 0.02458930015563965)
(20, 0.0, 0.02571415901184082)
(21, 0.0, 0.027051448822021484)
(22, 0.0, 0.028502941131591797)
(23, 0.0, 0.02960038185119629)
(24, 0.0, 0.030544042587280273)
(25, 0.0, 0.0318455696105957)
(26, 0.0, 0.03471851348876953)
(27, 0.0, 0.03528428077697754)
(28, 0.0, 0.0357213020324707)
(29, 0.0, 0.036687612533569336)
(30, 0.0, 0.03891396522521973)
(31, 0.0, 0.03967785835266113)
(32, 0.0, 0.04074859619140625)
(33, 0.0, 0.04172992706298828)
(34, 0.0, 0.04327821731567383)
(35, 0.0, 0.044536590576171875)
(36, 0.0, 0.045198678970336914)
(37, 0.0, 0.046837806701660156)
(38, 0.0, 0.048508405685424805)
(39, 0.0, 0.04930424690246582)
(40, 0.0, 0.05692458152770996)
(41, 0.0, 0.05077767372131348)
(42, 0.0, 0.05153632164001465)
(43, 0.0, 0.05347585678100586)
(44, 0.0, 0.05415153503417969)
(45, 0.0, 0.05510854721069336)
(46, 0.0, 0.056618690490722656)
(47, 0.0, 0.058962106704711914)
(48, 0.0, 0.05820727348327637)
(49, 0.0, 0.06020665168762207)
(50, 0.0, 0.061852455139160156)
(51, 0.0, 0.06247568130493164)
(52, 0.0, 0.0646207332611084)
(53, 0.0, 0.06505823135375977)
(54, 0.0, 0.06713628768920898)
(55, 0.0, 0.06874561309814453)
(56, 0.0, 0.0682060718536377)
(57, 0.0, 0.07047557830810547)
(58, 0.0, 0.07139301300048828)
(59, 0.0, 0.07189345359802246)
(60, 0.0, 0.0732722282409668)
(61, 0.0, 0.07468724250793457)
(62, 0.0, 0.07782721519470215)
(63, 0.0, 0.07635021209716797)
(64, 0.0, 0.07864999771118164)
(65, 0.0, 0.07920575141906738)
(66, 0.0, 0.08000850677490234)
(67, 0.0, 0.08123135566711426)
(68, 0.0, 0.08269572257995605)
(69, 0.0, 0.08409428596496582)
(70, 0.0, 0.0855565071105957)
(71, 0.0, 0.08665800094604492)
(72, 0.0, 0.08716392517089844)
(73, 0.0, 0.08857250213623047)
(74, 0.0, 0.09235048294067383)
(75, 0.0, 0.09231066703796387)
(76, 0.0, 0.09608745574951172)
(77, 0.0, 0.09472227096557617)
(78, 0.0, 0.09413933753967285)
(79, 0.0, 0.09595799446105957)
(80, 0.0, 0.09752225875854492)
(81, 0.0, 0.0971059799194336)
(82, 0.0, 0.09988975524902344)
(83, 0.0, 0.1007699966430664)
(84, 0.0, 0.10225582122802734)
(85, 0.0, 0.10246706008911133)
(86, 0.0, 0.10500168800354004)
(87, 0.0, 0.10454463958740234)
(88, 0.0, 0.10676980018615723)
(89, 0.0, 0.1077876091003418)
(90, 0.0, 0.1099388599395752)
(91, 0.0, 0.10968446731567383)
(92, 0.0, 0.110931396484375)
(93, 0.0, 0.11342382431030273)
(94, 0.0, 0.11458730697631836)
(95, 0.0, 0.12178778648376465)
(96, 0.0, 0.11518168449401855)
(97, 0.0, 0.11717510223388672)
(98, 0.0, 0.11979055404663086)
(99, 0.0, 0.11966824531555176)
(100, 0.0, 0.12086200714111328)
(101, 0.0, 0.12173652648925781)
(102, 0.0, 0.12430000305175781)
(103, 0.0, 0.1244816780090332)
(104, 0.0, 0.12492656707763672)
(105, 0.0, 0.12604784965515137)
(106, 0.0, 0.13110756874084473)
(107, 0.0, 0.13203215599060059)
(108, 0.0, 0.12925386428833008)
(109, 0.0, 0.132124662399292)
(110, 0.0, 0.13419890403747559)
(111, 0.0, 0.13368916511535645)
(112, 0.0, 0.13567662239074707)
(113, 0.0, 0.13661813735961914)
(114, 0.0, 0.13834071159362793)
(115, 0.0, 0.13880038261413574)
(116, 0.0, 0.1392674446105957)
(117, 0.0, 0.14218688011169434)
(118, 0.0, 0.1436166763305664)
(119, 0.0, 0.1432957649230957)
(120, 0.0, 0.1440441608428955)
(121, 0.0, 0.14638614654541016)
(122, 0.0, 0.14815855026245117)
(123, 0.0, 0.14869308471679688)
(124, 0.0, 0.15165352821350098)
(125, 0.0, 0.15051984786987305)
(126, 0.0, 0.1529388427734375)
(127, 0.0, 0.15352439880371094)
(128, 0.0, 0.1544208526611328)
(129, 0.0, 0.15483593940734863)
(130, 0.0, 0.15857768058776855)
(131, 0.0, 0.1582813262939453)
(132, 0.0, 0.1572704315185547)
(133, 0.0, 0.15937042236328125)
(134, 0.0, 0.16321587562561035)
(135, 0.0, 0.16247987747192383)
(136, 0.0, 0.16536736488342285)
(137, 0.0, 0.18149137496948242)
(138, 0.0, 0.4559452533721924)
(139, 0.0, 0.6065595149993896)
(140, 0.0, 0.16937780380249023)
(141, 0.0, 0.171461820602417)
(142, 0.0, 0.17370247840881348)
(143, 0.0, 0.17264175415039062)
(144, 0.0, 0.17379498481750488)
(145, 0.0, 0.1738138198852539)
(146, 0.0, 0.17581772804260254)
(147, 0.0, 0.17739462852478027)
(148, 0.0, 0.17903494834899902)
(149, 0.0, 0.17972421646118164)
(150, 0.0, 0.18350696563720703)
(151, 0.0, 0.18300318717956543)
(152, 0.0, 0.18339896202087402)
(153, 0.0, 0.18516135215759277)
(154, 0.0, 0.18662643432617188)
(155, 0.0, 0.18917560577392578)
(156, 0.0, 0.1862637996673584)
(157, 0.0, 0.18892383575439453)
(158, 0.0, 0.19263458251953125)
(159, 0.0, 0.19122099876403809)
(160, 0.0, 0.19351887702941895)
(161, 0.0, 0.19530606269836426)
(162, 0.0, 0.195451021194458)
(163, 0.0, 0.19790029525756836)
(164, 0.0, 0.19793367385864258)
(165, 0.0, 0.1995251178741455)
(166, 0.0, 0.2017984390258789)
(167, 0.0, 0.20061993598937988)
(168, 0.0, 0.20107698440551758)
(169, 0.0, 0.20237994194030762)
(170, 0.0, 0.20767855644226074)
(171, 0.0, 0.20794200897216797)
(172, 0.0, 0.20792269706726074)
(173, 0.0, 0.2098686695098877)
(174, 0.0, 0.20945954322814941)
(175, 0.0, 0.211106538772583)
(176, 0.0, 0.21145033836364746)
(177, 0.0, 0.21324777603149414)
(178, 0.0, 0.21651005744934082)
(179, 0.0, 0.21740055084228516)
(180, 0.0, 0.21539044380187988)
(181, 0.0, 0.21681952476501465)
(182, 0.0, 0.22217249870300293)
(183, 0.0, 0.22141718864440918)
(184, 0.0, 0.22381186485290527)
(185, 0.0, 0.22181129455566406)
(186, 0.0, 0.22462248802185059)
(187, 0.0, 0.22502398490905762)
(188, 0.0, 0.22717666625976562)
(189, 0.0, 0.2279961109161377)
(190, 0.0, 0.23038387298583984)
(191, 0.0, 0.23145699501037598)
(192, 0.0, 0.22862815856933594)
(193, 0.0, 0.2347581386566162)
(194, 0.0, 0.2362384796142578)
(195, 0.0, 0.23660516738891602)
(196, 0.0, 0.23583364486694336)
(197, 0.0, 0.2419261932373047)
(198, 0.0, 0.2397458553314209)
(199, 0.0, 0.24006104469299316)
(200, 0.0, 0.24014854431152344)
(201, 0.0, 0.24198436737060547)
(202, 0.0, 0.24677729606628418)
(203, 0.0, 0.24411964416503906)
(204, 0.0, 0.2431807518005371)
(205, 0.0, 0.24741816520690918)
(206, 0.0, 0.24946141242980957)
(207, 0.0, 0.24930310249328613)
(208, 0.0, 0.2501852512359619)
(209, 0.0, 0.2523465156555176)
(210, 0.0, 0.2536311149597168)
(211, 0.0, 0.25510430335998535)
(212, 0.0, 0.2551450729370117)
(213, 0.0, 0.2586367130279541)
(214, 0.0, 0.2578897476196289)
(215, 0.0, 0.2586500644683838)
(216, 0.0, 0.25915956497192383)
(217, 0.0, 0.261810302734375)
(218, 0.0, 0.26403284072875977)
(219, 0.0, 0.26404762268066406)
(220, 0.0, 0.265308141708374)
(221, 0.0, 0.2683272361755371)
(222, 0.0, 0.2684028148651123)
(223, 0.0, 0.27318286895751953)
(224, 0.0, 0.2686028480529785)
(225, 0.0, 0.26848888397216797)
(226, 0.0, 0.27469587326049805)
(227, 0.0, 0.2726731300354004)
(228, 0.0, 0.274139404296875)
(229, 0.0, 0.2753875255584717)
(230, 0.0, 0.2805135250091553)
(231, 0.0, 0.27753639221191406)
(232, 0.0, 0.28223443031311035)
(233, 0.0, 0.27989649772644043)
(234, 0.0, 0.28357744216918945)
(235, 0.0, 0.28360414505004883)
(236, 0.0, 0.28301358222961426)
(237, 0.0, 0.2877638339996338)
(238, 0.0, 0.2887606620788574)
(239, 0.0, 0.28895998001098633)
(240, 0.0, 0.2863152027130127)
(241, 0.0, 0.28943705558776855)
(242, 0.0, 0.2943553924560547)
(243, 0.0, 0.29111361503601074)
(244, 0.0, 0.29535746574401855)
(245, 0.0, 0.29485583305358887)
(246, 0.0, 0.2950751781463623)
(247, 0.0, 0.2966022491455078)
(248, 0.0, 0.29628634452819824)
(249, 0.0, 0.30043530464172363)
(250, 0.0, 0.3012111186981201)
(251, 0.0, 0.30228519439697266)
(252, 0.0, 0.30129218101501465)
(253, 0.0, 0.3023874759674072)
(254, 0.0, 0.3070414066314697)
(255, 0.0, 0.3063642978668213)
(256, 0.0, 0.3080899715423584)
(257, 0.0, 0.309598445892334)
(258, 0.0, 0.30907273292541504)
(259, 0.0, 0.3099966049194336)
(260, 0.0, 0.3115677833557129)
(261, 0.0, 0.31136393547058105)
(262, 0.0, 0.3171555995941162)
(263, 0.0, 0.3143606185913086)
(264, 0.0, 0.32062482833862305)
(265, 0.0, 0.3184657096862793)
(266, 0.0, 0.32050442695617676)
(267, 0.0, 0.32118892669677734)
(268, 0.0, 0.32459306716918945)
(269, 0.0, 0.32233166694641113)
(270, 0.0, 0.32760024070739746)
(271, 0.0, 0.32681894302368164)
(272, 0.0, 0.3265190124511719)
(273, 0.0, 0.32859015464782715)
(274, 0.0, 0.3337876796722412)
(275, 0.0, 0.3300600051879883)
