Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(0, 0.0, 0.0014383792877197266)
(1, 0.0, 0.002628326416015625)
(2, 0.0, 0.003748178482055664)
(3, 0.0, 0.00493311882019043)
(4, 0.0, 0.006053924560546875)
(5, 0.0, 0.007299661636352539)
(6, 0.0, 0.008360862731933594)
(7, 0.0, 0.009549140930175781)
(8, 0.0, 0.011025667190551758)
(9, 0.0, 0.012072086334228516)
(10, 0.0, 0.013076066970825195)
(11, 0.0, 0.014208078384399414)
(12, 0.0, 0.015847206115722656)
(13, 0.0, 0.016632080078125)
(14, 0.0, 0.01839923858642578)
(15, 0.0, 0.020007610321044922)
(16, 0.0, 0.020524263381958008)
(17, 0.0, 0.02143383026123047)
(18, 0.0, 0.02256011962890625)
(19, 0.0, 0.02359151840209961)
(20, 0.0, 0.024884700775146484)
(21, 0.0, 0.02640223503112793)
(22, 0.0, 0.02736377716064453)
(23, 0.0, 0.02941274642944336)
(24, 0.0, 0.029464244842529297)
(25, 0.0, 0.030789852142333984)
(26, 0.0, 0.03196263313293457)
(27, 0.0, 0.033341407775878906)
(28, 0.0, 0.03457045555114746)
(29, 0.0, 0.03551769256591797)
(30, 0.0, 0.03638815879821777)
(31, 0.0, 0.0374298095703125)
(32, 0.0, 0.03855729103088379)
(33, 0.0, 0.04000377655029297)
(34, 0.0, 0.04151129722595215)
(35, 0.0, 0.04384207725524902)
(36, 0.0, 0.04382038116455078)
(37, 0.0, 0.04529738426208496)
(38, 0.0, 0.0459752082824707)
(39, 0.0, 0.04693150520324707)
(40, 0.0, 0.04814267158508301)
(41, 0.0, 0.04872298240661621)
(42, 0.0, 0.050432682037353516)
(43, 0.0, 0.051820993423461914)
(44, 0.0, 0.052815914154052734)
(45, 0.0, 0.05372953414916992)
(46, 0.0, 0.05601859092712402)
(47, 0.0, 0.05579948425292969)
(48, 0.0, 0.05682373046875)
(49, 0.0, 0.05836176872253418)
(50, 0.0, 0.059467315673828125)
(51, 0.0, 0.06142616271972656)
(52, 0.0, 0.06224942207336426)
(53, 0.0, 0.06305170059204102)
(54, 0.0, 0.06669831275939941)
(55, 0.0, 0.06607270240783691)
(56, 0.0, 0.06603145599365234)
(57, 0.0, 0.06723380088806152)
(58, 0.0, 0.06963348388671875)
(59, 0.0, 0.07124137878417969)
(60, 0.0, 0.07065606117248535)
(61, 0.0, 0.07292032241821289)
(62, 0.0, 0.07376360893249512)
(63, 0.0, 0.07471823692321777)
(64, 0.0, 0.07654762268066406)
(65, 0.0, 0.07732629776000977)
(66, 0.0, 0.07969832420349121)
(67, 0.0, 0.08062982559204102)
(68, 0.0, 0.08220219612121582)
(69, 0.0, 0.09052133560180664)
(70, 0.0, 0.0826423168182373)
(71, 0.0, 0.08952021598815918)
(72, 0.0, 0.08511710166931152)
(73, 0.0, 0.08635520935058594)
(74, 0.0, 0.08914804458618164)
(75, 0.0, 0.08901834487915039)
(76, 0.0, 0.08984756469726562)
(77, 0.0, 0.0902261734008789)
(78, 0.0, 0.09124064445495605)
(79, 0.0, 0.09780454635620117)
(80, 0.0, 0.09585285186767578)
(81, 0.0, 0.09525275230407715)
(82, 0.0, 0.09823822975158691)
(83, 0.0, 0.09686589241027832)
(84, 0.0, 0.1013023853302002)
(85, 0.0, 0.09982442855834961)
(86, 0.0, 0.10257148742675781)
(87, 0.0, 0.11156225204467773)
(88, 0.0, 0.11064648628234863)
(89, 0.0, 0.1068723201751709)
(90, 0.0, 0.10536479949951172)
(91, 0.0, 0.10836672782897949)
(92, 0.0, 0.11124205589294434)
(93, 0.0, 0.11347770690917969)
(94, 0.0, 0.11854124069213867)
(95, 0.0, 0.11923909187316895)
(96, 0.0, 0.11875200271606445)
(97, 0.0, 0.12337112426757812)
(98, 0.0, 0.11882281303405762)
(99, 0.0, 0.12583422660827637)
(100, 0.0, 0.13033795356750488)
(101, 0.0, 0.1315464973449707)
(102, 0.0, 0.13016653060913086)
(103, 0.0, 0.12307381629943848)
(104, 0.0, 0.1214454174041748)
(105, 0.0, 0.13174223899841309)
(106, 0.0, 0.13128328323364258)
(107, 0.0, 0.13654494285583496)
(108, 0.0, 0.12791776657104492)
(109, 0.0, 0.12819409370422363)
(110, 0.0, 0.12761211395263672)
(111, 0.0, 0.14962458610534668)
(112, 0.0, 0.1400146484375)
(113, 0.0, 0.13704657554626465)
(114, 0.0, 0.13413214683532715)
(115, 0.0, 0.14599204063415527)
(116, 0.0, 0.1414353847503662)
(117, 0.0, 0.14113807678222656)
(118, 0.0, 0.14479613304138184)
(119, 0.0, 0.1438155174255371)
(120, 0.0, 0.15128087997436523)
(121, 0.0, 0.14523005485534668)
(122, 0.0, 0.14463329315185547)
(123, 0.0, 0.14441466331481934)
(124, 0.0, 0.14493346214294434)
(125, 0.0, 0.14577007293701172)
(126, 0.0, 0.14798974990844727)
(127, 0.0, 0.1494591236114502)
(128, 0.0, 0.1502094268798828)
(129, 0.0, 0.15209388732910156)
(130, 0.0, 0.15241146087646484)
(131, 0.0, 0.15299582481384277)
(132, 0.0, 0.15402507781982422)
(133, 0.0, 0.15686774253845215)
(134, 0.0, 0.15618085861206055)
(135, 0.0, 0.16015338897705078)
(136, 0.0, 0.16201186180114746)
(137, 0.0, 0.16004228591918945)
(138, 0.0, 0.44229984283447266)
(139, 0.0, 0.5913858413696289)
(140, 0.0, 0.16486406326293945)
(141, 0.0, 0.16769099235534668)
(142, 0.0, 0.16732072830200195)
(143, 0.0, 0.16986989974975586)
(144, 0.0, 0.16811776161193848)
(145, 0.0, 0.1688365936279297)
(146, 0.0, 0.17095446586608887)
(147, 0.0, 0.17396330833435059)
(148, 0.0, 0.1732313632965088)
(149, 0.0, 0.17596650123596191)
(150, 0.0, 0.17474675178527832)
(151, 0.0, 0.17509174346923828)
(152, 0.0, 0.17851018905639648)
(153, 0.0, 0.18024849891662598)
(154, 0.0, 0.1824498176574707)
(155, 0.0, 0.18092846870422363)
(156, 0.0, 0.18008756637573242)
(157, 0.0, 0.18409276008605957)
(158, 0.0, 0.1848750114440918)
(159, 0.0, 0.18725252151489258)
(160, 0.0, 0.1915454864501953)
(161, 0.0, 0.18813562393188477)
(162, 0.0, 0.18720531463623047)
(163, 0.0, 0.1929457187652588)
(164, 0.0, 0.19467854499816895)
(165, 0.0, 0.198272705078125)
(166, 0.0, 0.19771480560302734)
(167, 0.0, 0.19571971893310547)
(168, 0.0, 0.1978607177734375)
(169, 0.0, 0.19756150245666504)
(170, 0.0, 0.201019287109375)
(171, 0.0, 0.20038199424743652)
(172, 0.0, 0.20246195793151855)
(173, 0.0, 0.20312023162841797)
(174, 0.0, 0.20246195793151855)
(175, 0.0, 0.2069995403289795)
(176, 0.0, 0.20556211471557617)
(177, 0.0, 0.20758056640625)
(178, 0.0, 0.2090773582458496)
(179, 0.0, 0.20991897583007812)
(180, 0.0, 0.21202445030212402)
(181, 0.0, 0.21210980415344238)
(182, 0.0, 0.21189665794372559)
(183, 0.0, 0.21802258491516113)
(184, 0.0, 0.21871376037597656)
(185, 0.0, 0.218491792678833)
(186, 0.0, 0.2216958999633789)
(187, 0.0, 0.22148919105529785)
(188, 0.0, 0.22041749954223633)
(189, 0.0, 0.22603416442871094)
(190, 0.0, 0.22555780410766602)
(191, 0.0, 0.22687029838562012)
(192, 0.0, 0.2257704734802246)
(193, 0.0, 0.22541117668151855)
(194, 0.0, 0.22691917419433594)
(195, 0.0, 0.22793316841125488)
(196, 0.0, 0.22997546195983887)
(197, 0.0, 0.2298429012298584)
(198, 0.0, 0.23211264610290527)
(199, 0.0, 0.2316277027130127)
(200, 0.0, 0.23210930824279785)
(201, 0.0, 0.23505687713623047)
(202, 0.0, 0.23909664154052734)
(203, 0.0, 0.23693323135375977)
(204, 0.0, 0.23689603805541992)
(205, 0.0, 0.2395639419555664)
(206, 0.0, 0.2400224208831787)
(207, 0.0, 0.24330544471740723)
(208, 0.0, 0.24712109565734863)
(209, 0.0, 0.24513578414916992)
(210, 0.0, 0.2491757869720459)
(211, 0.0, 0.2539055347442627)
(212, 0.0, 0.25153565406799316)
(213, 0.0, 0.26125264167785645)
(214, 0.0, 0.25510573387145996)
(215, 0.0, 0.25447988510131836)
(216, 0.0, 0.2551555633544922)
(217, 0.0, 0.2539865970611572)
(218, 0.0, 0.26296567916870117)
(219, 0.0, 0.260789155960083)
(220, 0.0, 0.26257848739624023)
(221, 0.0, 0.26491594314575195)
(222, 0.0, 0.25894999504089355)
(223, 0.0, 0.2678518295288086)
(224, 0.0, 0.26571083068847656)
(225, 0.0, 0.2711648941040039)
(226, 0.0, 0.2674243450164795)
(227, 0.0, 0.2692396640777588)
(228, 6.666666666666667, 0.2726154327392578)
(229, 0.0, 0.27361392974853516)
(230, 0.0, 0.27097296714782715)
(231, 0.0, 0.2771129608154297)
(232, 0.0, 0.27901244163513184)
(233, 0.0, 0.27701878547668457)
(234, 0.0, 0.2749941349029541)
(235, 0.0, 0.2805352210998535)
(236, 0.0, 0.2806832790374756)
(237, 0.0, 0.2766091823577881)
(238, 0.0, 0.27646446228027344)
(239, 0.0, 0.2795426845550537)
(240, 0.0, 0.2776601314544678)
(241, 0.0, 0.2856602668762207)
(242, 0.0, 0.28195834159851074)
(243, 6.666666666666667, 0.28626203536987305)
(244, 0.0, 0.28421592712402344)
(245, 0.0, 0.286470890045166)
(246, 0.0, 0.2916722297668457)
(247, 0.0, 0.29012489318847656)
(248, 6.666666666666667, 0.2886216640472412)
(249, 0.0, 0.29068946838378906)
(250, 0.0, 0.2917158603668213)
(251, 0.0, 0.29674577713012695)
(252, 6.666666666666667, 0.29790353775024414)
(253, 6.666666666666667, 0.3004467487335205)
(254, 6.666666666666667, 0.30104732513427734)
(255, 0.0, 0.34255075454711914)
(256, 0.0, 0.37127256393432617)
(257, 6.666666666666667, 0.3340916633605957)
(258, 0.0, 0.30599141120910645)
(259, 13.333333333333334, 0.3333315849304199)
(260, 0.0, 0.3028416633605957)
(261, 0.0, 0.3141295909881592)
(262, 0.0, 0.3069629669189453)
(263, 0.0, 0.3120765686035156)
(264, 0.0, 0.3114180564880371)
(265, 0.0, 0.3097519874572754)
(266, 6.666666666666667, 0.31043577194213867)
(267, 6.666666666666667, 0.3146190643310547)
(268, 6.666666666666667, 0.320448637008667)
(269, 13.333333333333334, 0.319472074508667)
