Testes de variação de threshold para a rede neural com a base de dados Hill.
Formato (threshold, Accuracy, Tempo de execução)
(-2, 33.33333333333333, 0.06326436996459961)
(-1.9, 33.33333333333333, 0.06487631797790527)
(-1.7999999999999998, 33.33333333333333, 0.06326627731323242)
(-1.6999999999999997, 33.33333333333333, 0.06509590148925781)
(-1.5999999999999996, 33.33333333333333, 0.06318545341491699)
(-1.4999999999999996, 33.33333333333333, 0.06440353393554688)
(-1.3999999999999995, 33.33333333333333, 0.06400871276855469)
(-1.2999999999999994, 33.33333333333333, 0.06499409675598145)
(-1.1999999999999993, 33.33333333333333, 0.06402802467346191)
(-1.0999999999999992, 33.33333333333333, 0.0642995834350586)
(-0.9999999999999992, 33.33333333333333, 0.06505346298217773)
(-0.8999999999999992, 40.0, 0.06369709968566895)
(-0.7999999999999993, 33.33333333333333, 0.0652163028717041)
(-0.6999999999999993, 33.33333333333333, 0.0643153190612793)
(-0.5999999999999993, 33.33333333333333, 0.06397128105163574)
(-0.49999999999999933, 33.33333333333333, 0.06464314460754395)
(-0.39999999999999936, 33.33333333333333, 0.06461548805236816)
(-0.2999999999999994, 33.33333333333333, 0.06454157829284668)
(-0.19999999999999937, 33.33333333333333, 0.06406235694885254)
(-0.09999999999999937, 33.33333333333333, 0.0632786750793457)
(6.38378239159465e-16, 33.33333333333333, 0.06317734718322754)
(0.10000000000000064, 33.33333333333333, 0.06369638442993164)
(0.20000000000000065, 33.33333333333333, 0.06477499008178711)
(0.30000000000000066, 33.33333333333333, 0.06386232376098633)
(0.4000000000000007, 33.33333333333333, 0.06396746635437012)
(0.5000000000000007, 33.33333333333333, 0.0641169548034668)
(0.6000000000000006, 33.33333333333333, 0.06450319290161133)
(0.7000000000000006, 33.33333333333333, 0.06421041488647461)
(0.8000000000000006, 33.33333333333333, 0.0668182373046875)
(0.9000000000000006, 33.33333333333333, 0.0653848648071289)
(1.0000000000000007, 33.33333333333333, 0.06497049331665039)
(1.1000000000000008, 33.33333333333333, 0.06417179107666016)
(1.2000000000000008, 33.33333333333333, 0.06499886512756348)
(1.300000000000001, 33.33333333333333, 0.06422901153564453)
(1.400000000000001, 33.33333333333333, 0.06582903861999512)
(1.500000000000001, 33.33333333333333, 0.06396961212158203)
(1.6000000000000012, 33.33333333333333, 0.06427264213562012)
(1.7000000000000013, 33.33333333333333, 0.07171440124511719)
(1.8000000000000014, 33.33333333333333, 0.06444478034973145)
(1.9000000000000015, 33.33333333333333, 0.06444549560546875)
