Testes de variação de threshold para a rede neural com a base de dados Hill.
Formato (threshold, Accuracy, Tempo de execução)
(-2, 0.0, 0.09595942497253418)
(-1.9, 0.0, 0.0980994701385498)
(-1.7999999999999998, 0.0, 0.09504246711730957)
(-1.6999999999999997, 0.0, 0.09758687019348145)
(-1.5999999999999996, 0.0, 0.09595274925231934)
(-1.4999999999999996, 0.0, 0.0965726375579834)
(-1.3999999999999995, 0.0, 0.09951639175415039)
(-1.2999999999999994, 0.0, 0.10889673233032227)
(-1.1999999999999993, 0.0, 0.10556268692016602)
(-1.0999999999999992, 0.0, 0.09657168388366699)
(-0.9999999999999992, 0.0, 0.09527277946472168)
(-0.8999999999999992, 0.0, 0.10201239585876465)
(-0.7999999999999993, 0.0, 0.10419535636901855)
(-0.6999999999999993, 0.0, 0.10461878776550293)
(-0.5999999999999993, 0.0, 0.10362577438354492)
(-0.49999999999999933, 0.0, 0.09699368476867676)
(-0.39999999999999936, 0.0, 0.09785151481628418)
(-0.2999999999999994, 0.0, 0.09614372253417969)
(-0.19999999999999937, 0.0, 0.09652423858642578)
(-0.09999999999999937, 0.0, 0.09772467613220215)
(6.38378239159465e-16, 0.0, 0.09662938117980957)
(0.10000000000000064, 0.0, 0.09899067878723145)
(0.20000000000000065, 0.0, 0.09678220748901367)
(0.30000000000000066, 0.0, 0.09825468063354492)
(0.4000000000000007, 0.0, 0.09563231468200684)
(0.5000000000000007, 0.0, 0.0957944393157959)
(0.6000000000000006, 0.0, 0.09858512878417969)
(0.7000000000000006, 0.0, 0.09676074981689453)
(0.8000000000000006, 0.0, 0.09802699089050293)
(0.9000000000000006, 0.0, 0.09724950790405273)
(1.0000000000000007, 0.0, 0.09622979164123535)
(1.1000000000000008, 0.0, 0.09784770011901855)
(1.2000000000000008, 0.0, 0.09636831283569336)
(1.300000000000001, 0.0, 0.09704470634460449)
(1.400000000000001, 0.0, 0.095428466796875)
(1.500000000000001, 0.0, 0.09628081321716309)
(1.6000000000000012, 0.0, 0.0990610122680664)
(1.7000000000000013, 0.0, 0.10582375526428223)
(1.8000000000000014, 0.0, 0.10674047470092773)
(1.9000000000000015, 0.0, 0.10703396797180176)
