Testes de variação de threshold para a rede neural com a base de dados Hill.
Formato (threshold, Accuracy, Tempo de execução)
(-2, 0.0, 0.06100630760192871)
(-1.9, 0.0, 0.06091594696044922)
(-1.7999999999999998, 0.0, 0.06122732162475586)
(-1.6999999999999997, 0.0, 0.06128740310668945)
(-1.5999999999999996, 0.0, 0.0603177547454834)
(-1.4999999999999996, 0.0, 0.06063032150268555)
(-1.3999999999999995, 0.0, 0.06122732162475586)
(-1.2999999999999994, 0.0, 0.060689449310302734)
(-1.1999999999999993, 0.0, 0.060399532318115234)
(-1.0999999999999992, 0.0, 0.06402015686035156)
(-0.9999999999999992, 0.0, 0.06726408004760742)
(-0.8999999999999992, 0.0, 0.06657958030700684)
(-0.7999999999999993, 0.0, 0.06714510917663574)
(-0.6999999999999993, 0.0, 0.0609133243560791)
(-0.5999999999999993, 0.0, 0.06123065948486328)
(-0.49999999999999933, 0.0, 0.06111335754394531)
(-0.39999999999999936, 0.0, 0.06038808822631836)
(-0.2999999999999994, 0.0, 0.06028890609741211)
(-0.19999999999999937, 0.0, 0.06260919570922852)
(-0.09999999999999937, 0.0, 0.06048011779785156)
(6.38378239159465e-16, 0.0, 0.06092071533203125)
(0.10000000000000064, 0.0, 0.06054067611694336)
(0.20000000000000065, 0.0, 0.06233096122741699)
(0.30000000000000066, 0.0, 0.06096911430358887)
(0.4000000000000007, 0.0, 0.05996203422546387)
(0.5000000000000007, 0.0, 0.06115365028381348)
(0.6000000000000006, 0.0, 0.06232476234436035)
(0.7000000000000006, 0.0, 0.06037425994873047)
(0.8000000000000006, 0.0, 0.060448408126831055)
(0.9000000000000006, 0.0, 0.06444668769836426)
(1.0000000000000007, 0.0, 0.0670468807220459)
(1.1000000000000008, 0.0, 0.0671999454498291)
(1.2000000000000008, 0.0, 0.07053327560424805)
(1.300000000000001, 0.0, 0.06750893592834473)
(1.400000000000001, 0.0, 0.06722807884216309)
(1.500000000000001, 0.0, 0.06306838989257812)
(1.6000000000000012, 0.0, 0.062354087829589844)
(1.7000000000000013, 0.0, 0.06365108489990234)
(1.8000000000000014, 0.0, 0.06281423568725586)
(1.9000000000000015, 0.0, 0.06193351745605469)
