Testes de variação de threshold para a rede neural com a base de dados Hill.
Formato (threshold, Accuracy, Tempo de execução)
(-2, 0.0, 0.05923914909362793)
(-1.9, 0.0, 0.05977630615234375)
(-1.7999999999999998, 0.0, 0.05951404571533203)
(-1.6999999999999997, 0.0, 0.061032772064208984)
(-1.5999999999999996, 0.0, 0.06129622459411621)
(-1.4999999999999996, 0.0, 0.05922985076904297)
(-1.3999999999999995, 0.0, 0.05879807472229004)
(-1.2999999999999994, 0.0, 0.061849117279052734)
(-1.1999999999999993, 0.0, 0.06136298179626465)
(-1.0999999999999992, 0.0, 0.061385154724121094)
(-0.9999999999999992, 0.0, 0.06157827377319336)
(-0.8999999999999992, 0.0, 0.06198835372924805)
(-0.7999999999999993, 0.0, 0.06081724166870117)
(-0.6999999999999993, 0.0, 0.059059858322143555)
(-0.5999999999999993, 0.0, 0.06016039848327637)
(-0.49999999999999933, 0.0, 0.06127667427062988)
(-0.39999999999999936, 0.0, 0.05933117866516113)
(-0.2999999999999994, 0.0, 0.05953383445739746)
(-0.19999999999999937, 0.0, 0.059522390365600586)
(-0.09999999999999937, 0.0, 0.06161618232727051)
(6.38378239159465e-16, 0.0, 0.06011009216308594)
(0.10000000000000064, 0.0, 0.058931827545166016)
(0.20000000000000065, 0.0, 0.0596766471862793)
(0.30000000000000066, 0.0, 0.06089448928833008)
(0.4000000000000007, 0.0, 0.059479475021362305)
(0.5000000000000007, 6.666666666666667, 0.06130814552307129)
(0.6000000000000006, 6.666666666666667, 0.06173086166381836)
(0.7000000000000006, 6.666666666666667, 0.0631413459777832)
(0.8000000000000006, 20.0, 0.06308841705322266)
(0.9000000000000006, 0.0, 0.0630648136138916)
(1.0000000000000007, 0.0, 0.06238102912902832)
(1.1000000000000008, 20.0, 0.06516623497009277)
(1.2000000000000008, 0.0, 0.06370401382446289)
(1.300000000000001, 26.666666666666668, 0.06204104423522949)
(1.400000000000001, 13.333333333333334, 0.06300616264343262)
(1.500000000000001, 20.0, 0.06388735771179199)
(1.6000000000000012, 20.0, 0.063568115234375)
(1.7000000000000013, 6.666666666666667, 0.06297421455383301)
(1.8000000000000014, 13.333333333333334, 0.06301498413085938)
(1.9000000000000015, 26.666666666666668, 0.0639047622680664)
