PRODUTO,OPERACAO
000339,13
000339,14
000230,55
000485,55
000339,55
000109,65
000339,156
000339,156
000339,156
000339,156
000339,156
000339,156
000339,156
000665,298
000664,298
000193,298
000335,298
000708,343
000207,506
000536,506
000194,506
000157,506
000463,506
000158,506
000181,506
000184,506
000181,506
000738,554
000463,1341
000861,1341
000856,1341
000713,1341
000219,1341
000201,1341
000536,1341
000930,1341
000400,1341
000786,1549
000306,1549
000435,1549
000318,2343
000327,2343
000136,2411
000701,4553
000304,4780
000664,4780
000682,4871
000461,4919
000701,5046
001381,5092
000124,6040
000533,6450
000988,6450
001534,6450
000931,6450
000780,6732
001555,6732
000704,6940
000537,6940
000166,6940
000952,6940
001073,6940
000707,6940
000097,8023
000701,9171
000928,9171
000664,9171
001383,9171
001538,9171
000423,9643
001572,9643
000474,9643
000533,9643
001681,9643
001679,9643
000466,9643
001218,9643
000854,9643
000855,9643
000789,9643
001708,9643
001429,9643
000333,9643
001552,9643
000616,9643
000400,9643
001109,9643
001108,9643
000641,9643
000536,9643
001298,9643
001540,9643
000370,9643
000556,9643
000542,9643
000376,9643
000500,9643
001645,9643
000695,9643
000848,9643
000183,9643
000181,9643
000877,9643
001203,9643
000066,9643
001335,9643
000693,9643
000237,9643
000892,9643
001395,9643
001687,9643
001334,9643
001502,9643
000771,9643
001094,9643
000960,9643
000463,9643
001149,9643
001695,9643
000915,9643
001616,9643
001528,9643
000704,9643
000952,9643
000951,9643
000701,14251
001379,14793
001171,15439
001077,15439
001451,16373
000474,18088
000431,18088
000793,18970
001507,18970
001527,18970
001977,20207
000701,20207
000432,20207
000302,20207
000519,20207
000520,20207
000462,21725
000463,21725
000464,21725
001933,21725
000861,21725
000060,21725
001108,21725
001546,21725
000952,21725
000052,21725
000832,21725
000205,21725
000183,21725
000184,21725
001211,21725
000704,21725
000219,21725
002376,22181
002279,22181
000626,22343
000330,23223
001106,23223
002172,23223
000952,23223
000780,25742
000166,25742
002442,25826
000701,26085
000928,26085
000930,26085
000096,26404
000097,26404
001977,29748
001073,29748
000701,30323
000776,31219
000126,31219
000118,31666
002043,33067
001593,33067
002717,33067
002717,33067
000691,33235
000712,33769
002422,33769
000793,33769
001211,33769
000736,33769
000952,33769
001035,34460
001071,35062
001523,35062
001106,36288
000928,36288
001103,36288
000333,36861
001546,36861
002459,36861
002646,36861
000007,36861
000803,36861
001129,36861
002646,36861
000852,36861
000184,36861
000847,36861
000474,37137
000134,37137
001231,37154
002531,37620
000314,37620
000404,37620
002918,37620
000952,39258
002918,39258
001403,39258
001035,39258
000320,39258
000682,39347
003049,39442
002606,39741
003043,41030
003235,41030
000466,41030
003186,40924
000127,41330
000127,41330
000127,41330
000127,41330
000690,42191
002324,42255
001751,43196
000278,43196
002906,43196
000136,43196
000691,43244
000701,43534
001077,43534
000223,43534
000702,43534
000691,43891
000122,43891
000370,44032
000931,44032
003337,44032
000749,44315
000220,44467
000877,44467
000692,44986
002946,45433
002854,45433
002524,45434
002945,45436
000691,45653
002264,45982
003000,45982
000345,45982
000463,45982
000462,45982
002338,45982
002002,45986
000685,45986
000414,45986
002047,45986
002589,45986
000629,45986
000462,45986
001183,45986
000225,45986
003292,45986
000657,45986
002421,45986
000159,45986
002645,46888
001077,48805
001765,48805
000365,48805
000780,49293
000228,49601
000691,49601
002271,49733
003382,49710
001081,50323
000066,50582
000507,50582
000772,50582
002903,50582
001819,50582
001430,50582
000537,50582
003068,51338
003072,51338
001885,51338
001543,51577
000702,51861
000701,51861
001918,51861
001429,51861
002419,51943
002183,51943
000763,51943
000928,51943
000877,51943
000060,51943
003067,51943
000952,51943
000383,51943
003308,51943
002800,51943
000780,51943
000780,52357
001077,52641
000975,52641
003406,52641
000539,52641
002162,52641
000651,52953
000649,52953
003520,52953
000231,53046
001249,53046
001039,53046
001730,54814
000691,54814
001035,54814
003193,55375
001029,55375
002159,55375
000736,55375
002982,55375
000616,55375
000617,55375
000691,57212
001077,57267
000929,57267
002192,57267
000579,57267
000781,57315
000928,57714
000427,57714
000691,57791
000928,58047
002174,58047
001823,58047
000701,58047
000692,58047
002652,58047
000120,58198
002959,58609
001451,58609
001540,58632
002347,58632
003641,58632
000219,59236
000714,59790
000711,59790
002971,59790
000736,59790
001041,59970
000780,60001
000225,60030
000225,60030
001429,60877
001650,60877
000227,60877
000322,60877
003168,61285
000928,61285
000736,61823
001035,62394
001073,63197
001977,63197
001823,63197
000237,63197
001819,65149
002329,65149
000011,65546
001033,66165
000474,66313
000536,66313
000296,66313
000141,66313
004031,65902
000246,65902
000243,65902
002488,67311
000350,67311
003073,67919
004096,68436
000488,68728
003277,69117
001073,69456
001977,69456
003281,69456
000141,69491
000125,69491
001113,69713
000535,69713
000780,71777
001031,71916
000478,71916
000861,72474
000604,72474
001163,72474
003573,72474
001202,72474
000365,72474
002042,72474
000702,73830
001503,73853
000928,74223
002550,74223
002745,74223
000431,74223
001269,74904
002648,74904
000474,75037
000533,75037
000781,75037
000538,75037
000431,75037
000702,75988
001487,75988
002093,75988
000728,75988
000928,76001
003793,76001
003652,76001
003653,76001
000736,76001
001256,76001
000690,76001
000691,76024
001035,76510
000103,77016
004205,77016
001081,77055
000474,77215
003896,77215
002889,77215
003786,77215
000126,78811
004389,79661
004044,79564
000780,80021
000861,80842
003286,80842
000894,80842
000426,80842
000166,80842
002021,80842
001035,81144
003844,81439
002647,81749
001448,81749
001059,81749
004463,81842
003827,82118
000928,82118
001430,82118
000426,82352
004333,82457
003386,82457
000447,82457
003408,82457
001031,82539
002322,82601
000125,82601
001035,82900
000062,83429
000928,83429
000691,83473
001035,83541
001035,83541
001085,83541
003755,83541
004176,83577
001177,83577
001952,83577
000207,83577
000201,83577
002081,83577
000191,83577
001707,83577
000166,83577
000187,83577
000462,83577
000373,83577
000167,83577
001137,83577
000952,83577
000167,83577
002392,83577
000179,83577
003377,83577
000701,83690
001584,83690
000780,84084
000226,84096
000931,84096
000120,83945
004012,83374
001669,84476
002335,85175
003286,86167
001059,86167
000894,86167
000704,86167
001448,86167
000475,86167
000425,86167
000370,86167
001854,86167
002335,86168
001035,86256
000448,86263
001429,86263
000370,86263
000851,86263
000435,86893
000691,87845
001093,88555
001255,88698
000474,88810
000321,88810
000335,88810
000459,88810
000861,88810
001035,88810
001035,88785
001033,88994
002452,88994
000704,90250
000063,90250
002264,90504
001001,90504
000485,90504
001557,90504
000861,90504
000536,90504
004059,90504
001915,90504
001539,90504
001866,90504
000428,90504
001915,90504
001110,90636
001342,90636
000675,90636
001168,90636
003168,90636
001035,90894
000474,91275
001032,91275
001564,91510
004564,91510
001104,91754
002355,91754
001487,91754
000478,91754
004525,91754
000780,92568
001586,92635
001240,92720
000134,92720
000547,92720
002550,92720
004555,92873
000685,93148
001035,93365
001035,93433
000516,93701
002173,93701
003212,93701
000928,94458
001073,94458
001977,94458
000931,94458
001487,94458
000224,94508
001558,94508
000157,94508
002919,94508
003999,94508
003326,94508
000195,94508
000641,94508
002069,94508
000209,94508
001684,94508
004135,94508
001987,94508
000793,94508
000464,94508
001713,94508
002550,94508
000224,94511
001558,94511
000157,94511
002919,94511
003999,94511
003326,94511
000195,94511
000641,94511
002069,94511
000209,94511
001684,94511
004135,94511
001987,94511
000793,94511
000464,94511
001713,94511
002550,94511
000516,94603
004004,94702
000167,94926
004485,95001
003243,95001
003732,95001
004671,95211
000166,95211
004581,97210
001784,97366
001475,97366
000701,97366
003721,97366
001059,97366
001056,97366
001060,97366
001061,97366
000125,97366
000690,97366
000228,97588
003589,97588
000551,97588
000756,97588
000499,97588
001111,97588
000952,97588
000231,97588
001819,97588
003578,97588
004035,97588
000474,97588
004046,97588
000787,97588
001557,97588
001495,97588
000458,97588
002831,97588
000466,97588
002068,97619
000501,97619
001765,97619
000462,97619
002235,97619
000060,97619
004468,97619
004135,97619
000179,97619
003896,97619
000780,97619
003385,97664
004383,97664
000971,97781
001819,97781
000536,97781
000227,97781
000128,97781
000781,97781
004722,98301
002971,98301
001399,98429
003721,98429
000414,98918
000002,98918
001035,98947
001972,99323
000701,100109
000202,100290
000861,100290
000226,100290
000158,100290
000884,100290
001383,100290
002463,100290
000664,100290
003334,100290
001683,100290
004191,100290
000166,100290
000556,100290
000424,100290
001994,100290
001387,100290
001137,100290
000463,100290
000574,100290
001748,100290
000604,100290
000156,100290
000195,100290
000228,100320
001530,100320
002613,100444
001848,101781
000707,101781
000644,101781
000056,101781
000930,101781
000931,101781
000704,101781
001952,101993
001490,101993
001386,101993
004040,102371
004526,102371
001818,102371
000930,102371
002825,102598
000191,102678
001356,102946
000701,101751
000630,103465
001575,103465
000140,103465
002159,103465
000478,103811
000038,103811
001058,104038
001059,104038
001712,104038
001580,104038
000780,103993
001111,104194
002776,104194
002479,104194
003976,104312
