CODIGO,C,6;DESCRICAO,C,55;GRUPO,C,12;CADASTRO,D;CUSTO,N,14,4;VENDA_ATU,N,14,4;VENDA_ANT,N,14,4;MARGEM,N,14,4;ESTOQUE,N,14,4;MINIMO,N,14,4;INVENTARIO,D;CODIGOFOR,C,5;PORCENTAGE,N,14,4;CLASSE,C,1;ETIQUETA,C,1;ATIVO,C,1;BARRA,C,13;HORA,C,5;ALTERADO,C,1;VALIDADE,D;VENDA_PRO,N,14,4;EMPRESTIMO,N,14,4;DESCONTO,N,14,4;QTDE_PONTO,N,5,0;PODE_PRECO,C,1;PODE_DESC,C,1;ATUALIZAR,C,1;UNIDADES,N,14,4;LOCAL,C,10;DESC_PRAZO,C,1;QTD_VALIDA,N,14,4;COD_AUX1,C,9;MIN_ULT,N,5,0;MIN_DATA,D;MIN_DIAS,N,3,0;VINCULADO,N,14,4;APRESENTAC,C,2;BLOQ_PRECO,C,1;BLOQ_DESC,C,1;FRACAO,N,14,4;PESO,N,14,4;SUBGRUPO,C,15;REFERENCIA,C,55;VASILHAME,N,14,4;NP01_PORC,N,14,4;NP02_PORC,N,14,4;NP03_PORC,N,14,4;NP04_PORC,N,14,4;NP01_VALOR,N,14,4;NP02_VALOR,N,14,4;NP03_VALOR,N,14,4;NP04_VALOR,N,14,4;CONJ_ESTOQ,C,1;CONJ_CODIG,C,6;CONJ_QTD,N,14,4;ALIQ_ICMS,N,14,4;ALIQ_IPI,N,14,4;ALIQ_ISS,N,14,4;TIPO_PRODU,C,1;ICMS_SUBS,C,1;SIT_TRIBUT,C,3;CUSTO_BRUT,N,14,4;DESC01,N,14,4;DESC02,N,14,4;DESC03,N,14,4;DESC04,N,14,4;CUSTO_IPI,N,14,4;CUSTO_MEDI,N,14,4;CUSTO_FRET,N,14,4;ICMS_RED,C,1;C_FISCAL,C,14;ATU_CAIXA,C,1;ATU_PRECO,C,1
000001;SAND HAV KIDS SLIM AREIA 33/34;HAVAIANAS;22/10/2008;13,98;24;24;71,67;0;0;24/06/2016;00001;0;A;N;S;7891266058163;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0,003;0,003;0,003;0,003;21;21;21;21;N;;0;0;0;0;;;;13,98;0;0;0;0;0;13,98;0;;;S;S
000002;BALA;AVULSO;22/10/2008;0,02;0,1;0,05;400;-143;0;29/05/2018;00001;0;A;N;S;;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;0,1;0,1;0,1;0,1;N;;0;0;0;0;;;;0,02;0;0;0;0;0;0,025;0;;;S;S
000006;PRATO DURALEX FUNDO AMBAR;PRODUTOS;27/10/2008;14,16;20;18;41,2429;0;0;26/02/2012;00001;0;A;N;S;7894993987409;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;20;20;20;20;N;;0;0;0;0;;;;14,16;0;0;0;0;0;14,16;0;;;S;S
000007;ISQUEIRO BIC MAX;PRODUTOS;27/10/2008;2,54;4;3,75;57,4803;3;0;22/08/2018;00001;0;A;N;S;0703309092290;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;4;4;4;4;N;;0;0;0;0;;;;2,54;0;0;0;0;0;2,54;0;;;S;S
000008;FITA ISOLANTE EMBALANDO;PRODUTOS;27/10/2008;0,81;1,5;1,5;85,19;15;0;05/08/2017;00001;0;A;N;S;0001345123904;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;3,3313;3,3313;3,3313;3,3313;1,55;1,55;1,55;1,55;N;;0;0;0;0;;;;0,81;0;0;0;0;0;0,81;0;;;S;S
000009;FITA ISOLANTE 10M PRATIK;PRODUTOS;27/10/2008;1,05;1,5;1,9;42,86;-6,195;0;11/04/2016;00001;0;A;N;S;7896480649883;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0,5241;0,5241;0,5241;0,5241;1,91;1,91;1,91;1,91;N;;0;0;0;0;;;;1,05;0;0;0;0;0;1,05;0;;;S;S
000010;SANDALIA HAVAI TOP AZUL NAVAL 33/4;HAVAIANAS;27/10/2008;7,57;10,99;0;45,1783;0;0;24/10/2012;00001;0;A;N;S;7890557722219;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;0;0;0;0;10,99;10,99;10,99;10,99;N;;0;0;0;0;;;;7,57;0;0;0;0;0;0;0;;;S;S
000011;SANDALIA HAVAI TOP AZ NAVALA 35/6;HAVAIANAS;27/10/2008;7,88;10,75;10,2501;36,42;0;0;24/10/2012;00001;0;A;N;S;7890557722226;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;N;N;1;0;;;0;-0,0014;-0,0014;-0,0014;-0,0014;10,25;10,25;10,25;10,25;N;;0;0;0;0;;;;7,88;0;0;0;0;0;7,88;0;;;S;S
000012;SANDALIA HAVAI TOP AZ 37/8;HAVAIANAS;27/10/2008;12,29;18;13;46,46;0;0;26/10/2012;00001;0;A;N;S;7890557722233;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;13;13;13;13;N;;0;0;0;0;;;;12,29;0;0;0;0;0;12,29;0;;;S;S
000013;SAND HAV TOP CAFE 39/0;HAVAIANAS;27/10/2008;8,46;11,5;11;35,9338;0;0;24/10/2012;00001;0;A;N;S;7895265660549;;*;;0;0;0;0;N;N;S;1;;N;0;;0;;0;0;;S;S;1;0;;;0;0;0;0;0;11,5;11,5;11,5;11,5;N;;0;0;0;0;;;;8,46;0;0;0;0;0;8,175;0;;;S;S
